data-implied-do	{LEFT_PARENTHESIS: '(' (TERMINAL) }
sync-stat	{NAME_LITERAL: 'STAT' (TERMINAL), NAME_LITERAL: 'ERRMSG' (TERMINAL) }
actual-arg-spec	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), ASTERIK: '*' (TERMINAL) }
63_group_autogen	{COMMA: ',' (TERMINAL) }
22_opt_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
type-param-attr-spec	{NAME_LITERAL: 'KIND' (TERMINAL), NAME_LITERAL: 'LEN' (TERMINAL) }
parameter-stmt	{NAME_LITERAL: 'PARAMETER' (TERMINAL) }
array-section	{NAME_LITERAL: '' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL) }
substring	{NAME_LITERAL: '' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL) }
io-implied-do-object	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
proc-target	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
type-declaration-stmt	{NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
binding-private-stmt	{NAME_LITERAL: 'PRIVATE' (TERMINAL) }
v-list	{INT_LITERAL_CONSTANT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL) }
type-param-def-stmt	{NAME_LITERAL: 'INTEGER' (TERMINAL) }
flush-spec	{NAME_LITERAL: 'UNIT' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'IOSTAT' (TERMINAL), NAME_LITERAL: 'IOMSG' (TERMINAL), NAME_LITERAL: 'ERR' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
','3_opt_autogen	{COMMA: ',' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
r1_opt_autogen	{INT_LITERAL_CONSTANT: '' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
9_opt_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
bounds-spec	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
','1_opt_autogen	{COMMA: ',' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
data-stmt-repeat	{NAME_LITERAL: '' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL) }
bind-entity	{NAME_LITERAL: '' (TERMINAL), SLASH: '/' (TERMINAL) }
data-stmt-constant	{NAME_LITERAL: '' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL) }
error-stop-stmt	{NAME_LITERAL: 'ERROR' (TERMINAL) }
31_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
25_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
intrinsic-stmt	{NAME_LITERAL: 'INTRINSIC' (TERMINAL) }
82_group_autogen	{EQUALS: '=' (TERMINAL) }
association-list	{NAME_LITERAL: '' (TERMINAL) }
selector	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
control-edit-desc	{INT_LITERAL_CONSTANT: '' (TERMINAL), _EMTPTY_: '' (TERMINAL), SLASH: '/' (TERMINAL), COLON: ':' (TERMINAL), NAME_LITERAL: 'T' (TERMINAL), NAME_LITERAL: 'TL' (TERMINAL), NAME_LITERAL: 'TR' (TERMINAL), NAME_LITERAL: 'SS' (TERMINAL), NAME_LITERAL: 'SP' (TERMINAL), NAME_LITERAL: 'S' (TERMINAL), NAME_LITERAL: 'BN' (TERMINAL), NAME_LITERAL: 'BZ' (TERMINAL), NAME_LITERAL: 'RU' (TERMINAL), NAME_LITERAL: 'RD' (TERMINAL), NAME_LITERAL: 'RZ' (TERMINAL), NAME_LITERAL: 'RN' (TERMINAL), NAME_LITERAL: 'RC' (TERMINAL), NAME_LITERAL: 'RP' (TERMINAL), NAME_LITERAL: 'DC' (TERMINAL), NAME_LITERAL: 'DP' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL) }
variable	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
52_group_autogen	{NAME_LITERAL: 'CASE' (TERMINAL) }
common-block-object	{NAME_LITERAL: '' (TERMINAL) }
2_group_autogen	{LEFT_SQUARE_BRACKET: '[' (TERMINAL) }
equiv-op	{EQV: '' (TERMINAL), NEQV: '' (TERMINAL) }
68_group_autogen	{COMMA: ',' (TERMINAL) }
do-stmt	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL) }
derived-type-def	{NAME_LITERAL: 'TYPE' (TERMINAL) }
block-data-stmt	{NAME_LITERAL: 'BLOCK' (TERMINAL), NAME_LITERAL: 'BLOCKDATA' (TERMINAL) }
16_opt_autogen	{PERCENT: '%' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
entity-decl	{NAME_LITERAL: '' (TERMINAL) }
bounds-spec-list	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
where-construct	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL) }
close-spec	{NAME_LITERAL: 'UNIT' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'IOSTAT' (TERMINAL), NAME_LITERAL: 'IOMSG' (TERMINAL), NAME_LITERAL: 'ERR' (TERMINAL), NAME_LITERAL: 'STATUS' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
volatile-stmt	{NAME_LITERAL: 'VOLATILE' (TERMINAL) }
forall-construct	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL) }
type-param-spec-list	{NAME_LITERAL: '' (TERMINAL), ASTERIK: '*' (TERMINAL), COLON: ':' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
coarray-spec	{COLON: ':' (TERMINAL), _EMTPTY_: '' (TERMINAL), ASTERIK: '*' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
if-stmt	{NAME_LITERAL: 'IF' (TERMINAL) }
submodule	{NAME_LITERAL: 'SUBMODULE' (TERMINAL) }
rewind-stmt	{NAME_LITERAL: 'REWIND' (TERMINAL) }
case-value	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
forall-step	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
action-term-do-construct	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL) }
derived-type-spec	{NAME_LITERAL: '' (TERMINAL) }
codimension-stmt	{NAME_LITERAL: 'CODIMENSION' (TERMINAL) }
wait-stmt	{NAME_LITERAL: 'WAIT' (TERMINAL) }
named-constant-def-list	{NAME_LITERAL: '' (TERMINAL) }
component-array-spec	{COLON: ':' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
upper-bound	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
